Player,Position,Team
Danila Yurov,F,DRIFT
Jett Luchanko,F,DRIFT
Maxim Shabanov,F,DRIFT
Wilmer Skoog,F,DRIFT
Trent Miner,G,DRIFT
Michael Hrabal,G,DRIFT
Xavier Villeneuve,D,DRIFT
Roman Kantserov,F,Fishers
Zayne Parekh,D,Fishers
Sebastian Cossa,G,Fishers
Bradly Nadeau,F,Fishers
Victor Eklund,F,Fishers
Carter Bear,F,Fishers
Jake O'Brien,F,Fishers
Cole Hutson,D,HPH
Dalibor Dvorsky,F,HPH
Colten Ellis,G,HPH
Ethan Belchetz,F,HPH
Viggo Bjorck,F,HPH
J.P. Hurlbert,F,HPH
Adam Jiricek,D,HPH
Jackson Smith,D,HPH
Braeden Bowman,F,LYON
Arseny Gritsyuk,F,LYON
Konsta Helenius,F,LYON
Michael Brandsegg-Nygard,F,LYON
Trey Augustine,G,LYON
Alexander Command,F,LYON
Cayden Lindstrom,F,LYON
Mikhail Yegorov,G,LYON
Shakir Mukhamadullin,D,Metz17
Noah Laba,F,Metz17
Nikita Chibrikov,F,Metz17
Pavol Regenda,F,Metz17
Alex Steeves,F,Metz17
Dylan Garand,G,Metz17
Rory Kerins,F,Metz17
Erik Kallgren,G,Metz17
Devon Levi,G,MPV
Rutger McGroarty,F,MPV
Artur Akhtyamov,G,MPV
Quinn Hutson,F,MPV
Nikita Klepov,F,MPV
Roger McQueen,F,MPV
Chase Reid,D,MPV
Daxon Rudolph,D,MPV
Sam Rinzel,D,PBW
Justin Sourdif,F,PBW
Sacha Boisvert,F,PBW
Nikita Grebenkin,F,PBW
Oscar Hemming,F,PBW
Aatos Koivu,F,PBW
Alberts Smits,D,PBW
Bill Zonnon,F,PBW
Gabe Perreault,F,POT
Michael Misa,F,POT
Vitali Pinchuk,F,POT
James Hagens,F,POT
Ilya Protas,F,POT
Andrew Cristall,F,POT
Cole Eiserman,F,POT
Tom Willander,D,PPJ
Conor Geekie,F,PPJ
Nate Danielson,F,PPJ
Radim Mrtka,D,PPJ
Colby Barlow,F,PPJ
Carson Carels,D,PPJ
Jagger Firkus,F,PPJ
Caleb Malhotra,F,PPJ
Sam Dickinson,D,RCBW
Oliver Moore,F,RCBW
Alex Bump,F,RCBW
Luca Cagnoni,D,RCBW
Michael DiPietro,G,RCBW
Aiden Fink,F,RCBW
William Horcoff,F,RCBW
Sam O'Reilly,F,RCBW
Carter Yakemchuk,D,SHB
Brady Martin,F,SHB
Ville Koivunen,F,SHB
Matthew Poitras,F,SHB
Carter George,G,SHB
Jack Ivankovic,G,SHB
Tynan Lawrence,F,SHB
Cameron Schmidt,F,SHB
Porter Martone,F,SYN
Artyom Levshunov,D,SYN
Noah Ostlund,F,SYN
Berkly Catton,F,SYN
Kashawn Aitcheson,D,SYN
Tommy Bleyl,D,SYN
Tij Iginla,F,SYN
Charlie Stramel,F,SYN
Jacob Fowler,G,WWP
Pyotr Andreyanov,G,WWP
Caleb Desnoyers,F,WWP
Joshua Ravensbergen,G,WWP
Cole Reschny,F,WWP
Liam Ruck,F,WWP
Markus Ruck,F,WWP
Keaton Verhoeff,D,WWP
Daniel Vladar,G,ACC
Owen Power,D,ACC
Zach Benson,F,ACC
Cole Perfetti,F,ACC
John Gibson,G,BIB
Ryan Hartman,F,BIB
Cam York,D,BIB
Owen Tippett,F,CSS
Jake Walman,D,CSS
Josh Doan,F,CSS
Jordan Binnington,G,CSS
Travis Sanheim,D,DRIFT
Evgeni Malkin,F,DRIFT
Luke Evangelista,F,DRIFT
Blake Coleman,F,DRIFT
Ville Husso,G,DRIFT
Victor Hedman,D,Fishers
Sergei Murashov,G,Fishers
Matt Duchene,F,Fishers
Valeri Nichushkin,F,Fishers
Egor Chinakhov,F,Fishers
Anthony Cirelli,F,HPH
Charlie Coyle,F,HPH
Mattias Samuelsson,D,HPH
Justin Faulk,D,HPH
Esa Lindell,D,LYON
Trevor Zegras,F,LYON
Jake McCabe,D,LYON
Tristan Jarry,G,LYON
Sidney Crosby,F,Metz17
Josh Morrissey,D,Metz17
Mason McTavish,F,Metz17
Alex Lyon,G,Metz17
Timo Meier,F,MPV
Anton Frondell,F,MPV
Brandon Montour,D,MPV
Frank Nazar,F,MPV
Nazem Kadri,F,PBW
Spencer Knight,G,PBW
Jackson Blake,F,PBW
K'Andre Miller,D,PBW
Alex Tuch,F,POT
Quinton Byfield,F,POT
Philip Broberg,D,POT
Stuart Skinner,G,POT
Brock Boeser,F,PPJ
Colton Parayko,D,PPJ
Kevin Lankinen,G,PPJ
Kaiden Guhle,D,PPJ
Vincent Trocheck,F,RCBW
Alex Laferriere,F,RCBW
Josh Norris,F,RCBW
Jamie Drysdale,D,RCBW
Mikael Granlund,F,SHB
Benjamin Kindel,F,SHB
Joey Daccord,G,SHB
Mavrik Bourque,F,SHB
Jackson LaCombe,D,SYN
Artturi Lehkonen,F,SYN
Luke Hughes,D,SYN
Arturs Silovs,G,SYN
Wyatt Johnston,F,WWP
Matt Boldy,F,WWP
Robert Thomas,F,WWP
Mats Zuccarello,F,WWP
Igor Chernyshov,F,WWP
Calum Ritchie,F,WWP
